абдикувати | абдикую | абдикував
прогрібати | прогрібаю | прогрібав
прогрівати | прогріваю | прогрівав
прогріти | прогрію | прогрів
прогрішити | прогрішу | прогрішив
прогрузати | прогрузаю | прогрузав
прогрузнути | прогрузну | прогрузнув
прогрузти | прогрузу | прогруз
прогрюкати | прогрюкаю | прогрюкав
прогуглити | прогуглю | прогуглив
прогугнити | прогугню | прогугнив
прогугнявити | прогугнявлю | прогугнявив
прогуготіти | прогугочу | прогуготів
прогудіти | прогуду | прогудів
прогулювати | прогулюю | прогулював
прогуляти | прогуляю | прогуляв
прогумовувати | прогумовую | прогумовував
прогумувати | прогумую | прогумував
прогупати | прогупаю | прогупав
прогупотіти | прогупочу | прогупотів
прогуркотати | прогуркочу | прогуркотав
прогуркотіти | прогуркочу | прогуркотів
прогусти | прогуду | прогув
проґавити | проґавлю | проґавив
продавати | продаю | продавав
продавити | продавлю | продавив
продавлювати | продавлюю | продавлював
продати | продам | продав
продатувати | продатую | продатував
продебатувати | продебатую | продебатував
продегустувати | продегустую | продегустував
продезінфікувати | продезінфікую | продезінфікував
продекламувати | продекламую | продекламував
продекларувати | продекларую | продекларував
продемонструвати | продемонструю | продемонстрував
продеренчати | продеренчу | продеренчав
продеренькотіти | продеренькочу | продеренькотів
продержати | продержу | продержав
продерибанити | продерибаню | продерибанив
продерти | продеру | продер
продерчати | продерчу | продерчав
продефілювати | продефілюю | продефілював
продешевити | продешевлю | продешевив
продзвеніти | продзвеню | продзвенів
продзвонити | продзвоню | продзвонив
продзвонювати | продзвонюю | продзвонював
продзеленчати | продзеленчу | продзеленчав
продзеленькати | продзеленькаю | продзеленькав
продзенькати | продзенькаю | продзенькав
продзижчати | продзижчу | продзижчав
продзьобати | продзьобаю | продзьобав
продзьобувати | продзьобую | продзьобував
продзюрчати | продзюрчу | продзюрчав
продзявкати | продзявкаю | продзявкав
продибати | продибаю | продибав
продивити | продивлю | продивив
продивляти | продивляю | продивляв
продиктувати | продиктую | продиктував
продимати | продимаю | продимав
продимити | продимлю | продимив
продиміти | продимлю | продимів
продимляти | продимляю | продимляв
продирати | продираю | продирав
продиригувати | продиригую | продиригував
продискутувати | продискутую | продискутував
продиференціювати | продиференціюю | продиференціював
продифундувати | продифундую | продифундував
продихати | продихаю | продихав
продихнути | продихну | продихнув
продіагностувати | продіагностую | продіагностував
продівувати | продівую | продівував
продідувати | продідую | продідував
продіркувати | продіркую | продіркував
продірявити | продірявлю | продірявив
продірявлювати | продірявлюю | продірявлював
продмухати | продмухаю | продмухав
продмухувати | продмухую | продмухував
продовбати | продовбаю | продовбав
продовбувати | продовбую | продовбував
продовжити | продовжу | продовжив
продовжувати | продовжую | продовжував
продолубати | продолубаю | продолубав
продражнити | продражню | продражнив
продрати | продеру | продрав
продрейфувати | продрейфую | продрейфував
продрижати | продрижу | продрижав
продріботати | продрібочу | продріботав
продріботіти | продрібочу | продріботів
продрімати | продрімаю | продрімав
продряпати | продряпаю | продряпав
продряпувати | продряпую | продряпував
продублювати | продублюю | продублював
продувати | продуваю | продував
продудіти | продуджу | продудів
продудоніти | продудоню | продудонів
продукувати | продукую | продукував
продумати | продумаю | продумав
продумувати | продумую | продумував
продути | продму | продув
продюсувати | продюсую | продюсував
проеволюціонувати | проеволюціоную | проеволюціонував
проекзаменовувати | проекзаменовую | проекзаменовував
проекзаменувати | проекзаменую | проекзаменував
проекспериментувати | проекспериментую | проекспериментував
проекспортувати | проекспортую | проекспортував
прожарити | прожарю | прожарив
прожарювати | прожарюю | прожарював
прождати | прожду | прождав
прожебоніти | прожебоню | прожебонів
проживати | проживаю | проживав
проживотіти | проживотію | проживотів
прожинати | прожинаю | прожинав
прожити | проживу | прожив
прожовкнути | прожовкну | прожовк
прожовувати | прожовую | прожовував
прожолоблювати | прожолоблюю | прожолоблював
прожувати | прожую | прожував
прозвати | прозву | прозвав
прозвітувати | прозвітую | прозвітував
прозвучати | прозвучу | прозвучав
прозивати | прозиваю | прозивав
прозимувати | прозимую | прозимував
прозирати | прозираю | прозирав
прозирнути | прозирну | прозирнув
прознати | прознаю | прознав
прозондувати | прозондую | прозондував
прозорішати | прозорішаю | прозорішав
прозрівати | прозріваю | прозрівав
прозріти | прозрію | прозрів
проігнорувати | проігнорую | проігнорував
проідентифікувати | проідентифікую | проідентифікував
проілюструвати | проілюструю | проілюстрував
проінвентаризувати | проінвентаризую | проінвентаризував
проінвестувати | проінвестую | проінвестував
проіндексувати | проіндексую | проіндексував
проініціалізувати | проініціалізую | проініціалізував
проініціювати | проініціюю | проініціював
проінкубувати | проінкубую | проінкубував
проінспектувати | проінспектую | проінспектував
проінструктувати | проінструктую | проінструктував
проінтегрувати | проінтегрую | проінтегрував
проінтерв'ювати | проінтерв'юю | проінтерв'ював
проінтерполювати | проінтерполюю | проінтерполював
проінтерпретувати | проінтерпретую | проінтерпретував
проінформувати | проінформую | проінформував
проіржавіти | проіржавію | проіржавів
проіржати | проіржу | проіржав
проіснувати | проісную | проіснував
проіспитувати | проіспитую | проіспитував
проїдати | проїдаю | проїдав
проїжджати | проїжджаю | проїжджав
проїздити | проїжджу | проїздив
проїсти | проїм | проїв
проїхати | проїду | проїхав
проймати | проймаю | проймав
пройняти | пройму | пройняв
пройти | пройду | пройшов
проказати | прокажу | проказав
проказувати | проказую | проказував
прокайфувати | прокайфую | прокайфував
прокалатати | прокалатаю | прокалатав
прокалібрувати | прокалібрую | прокалібрував
прокапати | прокапаю | прокапав
прокарбовувати | прокарбовую | прокарбовував
прокарбувати | прокарбую | прокарбував
прокаркати | прокаркаю | прокаркав
прокатати | прокатаю | прокатав
прокатувати | прокатую | прокатував
прокахикати | прокахикаю | прокахикав
прокачати | прокачаю | прокачав
прокачувати | прокачую | прокачував
прокашлювати | прокашлюю | прокашлював
прокашляти | прокашляю | прокашляв
проквакати | проквакаю | проквакав
проквасити | проквашу | проквасив
проквашувати | проквашую | проквашував
проквилити | проквилю | проквилив
проквиляти | проквиляю | проквиляв
проквітнути | проквітну | проквітнув
проквоктати | проквокчу | проквоктав
прокигикати | прокигичу | прокигикав
прокидати | прокидаю | прокидав
прокинути | прокину | прокинув
прокипати | прокипаю | прокипав
прокипіти | прокиплю | прокипів
прокип'ятити | прокип'ячу | прокип'ятив
прокисати | прокисаю | прокисав
прокиснути | прокисну | прокис
прокладати | прокладаю | прокладав
прокламувати | прокламую | прокламував
прокласифікувати | прокласифікую | прокласифікував
прокласти | прокладу | проклав
проклацати | проклацаю | проклацав
проклеїти | проклею | проклеїв
проклепати | проклепаю | проклепав
проклеювати | проклеюю | проклеював
проклинати | проклинаю | проклинав
прокліпати | прокліпаю | прокліпав
прокльовувати | прокльовую | прокльовував
проклювати | проклюю | проклював
проклюнути | проклюну | проклюнув
проклясти | прокляну | прокляв
проковзати | проковзаю | проковзав
проковзнути | проковзну | проковзнув
проковзувати | проковзую | проковзував
проковтнути | проковтну | проковтнув
проковтувати | проковтую | проковтував
проковувати | проковую | проковував
проколихати | проколихаю | проколихав
проколоти | проколю | проколов
проколупати | проколупаю | проколупав
проколупнути | проколупну | проколупнув
проколупувати | проколупую | проколупував
проколювати | проколюю | проколював
проколядувати | проколядую | проколядував
прокоментувати | прокоментую | прокоментував
прокомпостирувати | прокомпостирую | прокомпостирував
прокомпостувати | прокомпостую | прокомпостував
прокомунікувати | прокомунікую | прокомунікував
проконвертувати | проконвертую | проконвертував
проконопатити | проконопачу | проконопатив
проконопачувати | проконопачую | проконопачував
проконспектувати | проконспектую | проконспектував
проконсультувати | проконсультую | проконсультував
проконтролювати | проконтролюю | проконтролював
прокоординувати | прокоординую | прокоординував
прокопати | прокопаю | прокопав
прокоптити | прокопчу | прокоптив
прокопувати | прокопую | прокопував
прокопчувати | прокопчую | прокопчував
прокоректувати | прокоректую | прокоректував
прокоригувати | прокоригую | прокоригував
прокормити | прокормлю | прокормив
прокосити | прокошу | прокосив
прокотити | прокочу | прокотив
прокочувати | прокочую | прокочував
прокошувати | прокошую | прокошував
прокрастинувати | прокрастиную | прокрастинував
прокредитувати | прокредитую | прокредитував
прокректати | прокрекчу | прокректав
прокреслити | прокреслю | прокреслив
прокреслювати | прокреслюю | прокреслював
прокрикувати | прокрикую | прокрикував
прокритикувати | прокритикую | прокритикував
прокричати | прокричу | прокричав
прокрокувати | прокрокую | прокрокував
прокрохмалити | прокрохмалю | прокрохмалив
прокрохмалювати | прокрохмалюю | прокрохмалював
прокружляти | прокружляю | прокружляв
прокрутити | прокручу | прокрутив
прокручувати | прокручую | прокручував
прокувати | прокую | прокував
прокукурікати | прокукурікаю | прокукурікав
прокульгати | прокульгаю | прокульгав
прокультивувати | прокультивую | прокультивував
прокуняти | прокуняю | прокуняв
прокурити | прокурю | прокурив
прокурликати | прокурликаю | прокурликав
прокурорствувати | прокурорствую | прокурорствував
прокусити | прокушу | прокусив
прокушувати | прокушую | прокушував
пролагодити | пролагоджу | пролагодив
пролазити | пролажу | пролазив
проламати | проламаю | проламав
проламувати | проламую | проламував
пролегувати | пролегую | пролегував
пролежати | пролежу | пролежав
пролежувати | пролежую | пролежував
пролепетати | пролепечу | пролепетав
пролетаризувати | пролетаризую | пролетаризував
пролетіти | пролечу | пролетів
проливати | проливаю | проливав
пролигати | пролигаю | пролигав
пролигнути | пролигну | пролигнув
пролизати | пролижу | пролизав
пролизувати | пролизую | пролизував
пролинути | пролину | пролинув
пролити | проллю | пролив
пролізати | пролізаю | пролізав
пролізти | пролізу | проліз
проліковувати | проліковую | проліковував
пролікувати | пролікую | пролікував
пролітати | пролітаю | пролітав
проліферувати | проліферую | проліферував
проліцензувати | проліцензую | проліцензував
пролічити | пролічу | пролічив
пролляти | пролляю | пролляв
пролобіювати | пролобіюю | пролобіював
прологарифмувати | прологарифмую | прологарифмував
проломити | проломлю | проломив
проломлювати | проломлюю | проломлював
пролонговувати | пролонговую | пролонговував
пролонгувати | пролонгую | пролонгував
пролопотіти | пролопочу | пролопотів
пролунати | пролунаю | пролунав
пролупати | пролупаю | пролупав
пролюструвати | пролюструю | пролюстрував
пролютувати | пролютую | пролютував
пролягати | пролягаю | пролягав
пролягти | проляжу | проліг
пролямкати | пролямкаю | пролямкав
проляскотіти | проляскочу | проляскотів
пролящати | пролящу | пролящав
промазати | промажу | промазав
промазувати | промазую | промазував
промайнути | промайну | промайнув
промайструвати | промайструю | промайстрував
промальовувати | промальовую | промальовував
промалювати | промалюю | промалював
промалярувати | промалярую | промалярував
промандрувати | промандрую | промандрував
проманеврувати | проманеврую | проманеврував
проманіпулювати | проманіпулюю | проманіпулював
промантачити | промантачу | промантачив
промаринувати | промариную | промаринував
промарити | промарю | промарив
промаркірувати | промаркірую | промаркірував
промаркувати | промаркую | промаркував
промарнотратити | промарнотрачу | промарнотратив
промарнувати | промарную | промарнував
промаршувати | промаршую | промаршував
промасажувати | промасажую | промасажував
промаслити | промаслю | промаслив
промаслювати | промаслюю | промаслював
промастити | промащу | промастив
промасувати | промасую | промасував
промахати | промахаю | промахав
промацати | промацаю | промацав
промацувати | промацую | промацував
промащувати | промащую | промащував
промелькнути | промелькну | промелькнув
променіти | променію | променів
променювати | променюю | променював
промережати | промережаю | промережав
промережити | промережу | промережив
промерехтіти | промерехчу | промерехтів
промерзати | промерзаю | промерзав
промерзнути | промерзну | промерзнув
промерзти | промерзну | промерз
промести | промету | промів
прометати | прометаю | прометав
промешкати | промешкаю | промешкав
промжичити | - | промжичив
промивати | промиваю | промивав
промигнути | промигну | промигнув
промиготіти | промигочу | промиготів
промигтіти | промигчу | промигтів
промимрити | промимрю | промимрив
проминати | проминаю | проминав
проминути | промину | проминув
промити | промию | промив
промишляти | промишляю | промишляв
проміксувати | проміксую | проміксував
промінювати | промінюю | промінював
проміняти | проміняю | проміняв
промірювати | промірюю | промірював
проміряти | проміряю | проміряв
промісити | промішу | промісив
промітати | промітаю | промітав
промішувати | промішую | промішував
промовити | промовлю | промовив
промовляти | промовляю | промовляв
промовчати | промовчу | промовчав
промовчувати | промовчую | промовчував
промоделювати | промоделюю | промоделював
промокати | промокаю | промокав
промокнути | промокну | промок
промолоти | промелю | промолов
промолотити | промолочу | промолотив
промолочувати | промолочую | промолочував
промоніторити | промоніторю | промоніторив
проморгати | проморгаю | проморгав
промордувати | промордую | промордував
проморожувати | проморожую | проморожував
проморозити | проморожу | проморозив
промостити | промощу | промостив
промотати | промотаю | промотав
промотувати | промотую | промотував
промочити | промочу | промочив
промочувати | промочую | промочував
промощувати | промощую | промощував
промріяти | промрію | промріяв
промрячити | - | -
промувати | промую | промував
промугикати | промугикаю | промугикав
промукати | промукаю | промукав
промульгувати | промульгую | промульгував
промуркотати | промуркочу | промуркотав
промуркотіти | промуркочу | промуркотів
промурмотіти | промурмочу | промурмотів
промурчати | промурчу | промурчав
промучити | промучу | промучив
промучувати | промучую | промучував
промуштрувати | промуштрую | промуштрував
промчати | промчу | промчав
пром'яти | промну | пром'яв
пронаймитувати | пронаймитую | пронаймитував
пронести | пронесу | проніс
пронидіти | пронидію | пронидів
пронизати | пронижу | пронизав
пронизувати | пронизую | пронизував
проникати | проникаю | проникав
проникнути | проникну | проник
пронишпорити | пронишпорю | пронишпорив
пронормувати | пронормую | пронормував
проносити | проношу | проносив
проношувати | проношую | проношував
пронудьгувати | пронудьгую | пронудьгував
пронумеровувати | пронумеровую | пронумеровував
пронумерувати | пронумерую | пронумерував
пронюхати | пронюхаю | пронюхав
пронюхувати | пронюхую | пронюхував
пронявкати | пронявкаю | пронявкав
пронявчати | пронявчу | пронявчав
прооліїти | проолію | прооліїв
прооліфити | прооліфлю | прооліфив
прооліфлювати | прооліфлюю | прооліфлював
прооліювати | прооліюю | прооліював
прооперувати | прооперую | прооперував
проорати | проорю | проорав
проорювати | проорюю | проорював
проотаманувати | проотаманую | проотаманував
пропагандувати | пропагандую | пропагандував
пропагувати | пропагую | пропагував
пропадати | пропадаю | пропадав
пропалити | пропалю | пропалив
пропалювати | пропалюю | пропалював
пропанувати | пропаную | пропанував
пропарафінувати | пропарафіную | пропарафінував
пропарити | пропарю | пропарив
пропарсити | пропаршу | пропарсив
пропарювати | пропарюю | пропарював
пропасинкувати | пропасинкую | пропасинкував
пропасічникувати | пропасічникую | пропасічникував
пропастеризовувати | пропастеризовую | пропастеризовував
пропастеризувати | пропастеризую | пропастеризував
пропасти | пропаду | пропав
пропатякати | пропатякаю | пропатякав
пропахати | пропахаю | пропахав
пропахкати | пропахкаю | пропахкав
пропахнути | пропахну | пропахнув
пропахти | пропахну | пропах
пропаювати | пропаюю | пропаював
пропаяти | пропаяю | пропаяв
пропекти | пропечу | пропік
проперти | пропру | пропер
проперчити | проперчу | проперчив
пропестити | пропещу | пропестив
пропетляти | пропетляю | пропетляв
пропечатати | пропечатаю | пропечатав
пропечатувати | пропечатую | пропечатував
пропивати | пропиваю | пропивав
пропилососити | пропилосошу | пропилососив
пропилотяжити | пропилотяжу | пропилотяжив
пропильнувати | пропильную | пропильнував
пропилювати | пропилюю | пропилював
пропиляти | пропиляю | пропиляв
прописати | пропишу | прописав
прописувати | прописую | прописував
пропити | проп'ю | пропив
пропихати | пропихаю | пропихав
пропихтіти | пропихчу | пропихтів
пропищати | пропищу | пропищав
пропиячити | пропиячу | пропиячив
пропіарити | пропіарю | пропіарив
пропікати | пропікаю | пропікав
пропітніти | пропітнію | пропітнів
проплавати | проплаваю | проплавав
проплавити | проплавлю | проплавив
проплазувати | проплазую | проплазував
проплакати | проплачу | проплакав
проплатити | проплачу | проплатив
проплачувати | проплачую | проплачував
проплести | проплету | проплів
пропливати | пропливаю | пропливав
пропливти | пропливу | проплив
проплигати | проплигаю | проплигав
проплинути | проплину | проплинув
проплисти | пропливу | проплив
пропліснявіти | пропліснявію | пропліснявів
проплювати | проплюю | проплював
проповзати | проповзаю | проповзав
проповзти | проповзу | проповз
проповзувати | проповзую | проповзував
проповідати | проповідаю | проповідав
проповідувати | проповідую | проповідував
прополіскувати | прополіскую | прополіскував
прополоскати | прополощу | прополоскав
прополоти | прополю | прополов
прополювати | прополюю | прополював
пропонувати | пропоную | пропонував
пропороти | пропорю | пропоров
пропорціювати | пропорціюю | пропорціював
пропорювати | пропорюю | пропорював
пропотіти | пропотію | пропотів
пропрасовувати | пропрасовую | пропрасовував
пропрасувати | пропрасую | пропрасував
пропрати | проперу | проправ
пропрацьовувати | пропрацьовую | пропрацьовував
пропрацювати | пропрацюю | пропрацював
пропріти | пропрію | пропрів
пропрясти | пропряду | пропряв
пропускати | пропускаю | пропускав
пропустити | пропущу | пропустив
пропхати | пропхаю | пропхав
пропхнути | пропхну | пропхнув
проранжувати | проранжую | проранжував
прорапортувати | прорапортую | прорапортував
прораховувати | прораховую | прораховував
прорахувати | прорахую | прорахував
прорвати | прорву | прорвав
прореагувати | прореагую | прореагував
проревізувати | проревізую | проревізував
проревіти | прореву | проревів
проревти | прореву | проревів
проредагувати | проредагую | проредагував
прорекламувати | прорекламую | прорекламував
проректи | проречу | прорік
прорепетирувати | прорепетирую | прорепетирував
прорефлексувати | прорефлексую | прорефлексував
прорецензувати | прорецензую | прорецензував
проржавіти | проржавію | проржавів
проривати | прориваю | проривав
проридати | проридаю | проридав
прорипіти | прориплю | прорипів
прорити | прорию | прорив
проричати | проричу | проричав
проріджувати | проріджую | проріджував
прорідити | проріджу | прорідив
прорідіти | прорідію | прорідів
прорізати | прорізаю | прорізав
прорізувати | прорізую | прорізував
прорікати | прорікаю | прорікав
проробити | пророблю | проробив
пророблювати | пророблюю | пророблював
проробляти | проробляю | проробляв
пророкотати | пророкочу | пророкотав
пророкувати | пророкую | пророкував
проронити | пророню | проронив
проростати | проростаю | проростав
прорости | проросту | проріс
проростити | пророщу | проростив
пророчити | пророчу | пророчив
пророщувати | пророщую | пророщував
прорубати | прорубаю | прорубав
прорубувати | прорубую | прорубував
просаджувати | просаджую | просаджував
просадити | просаджу | просадив
просалити | просалю | просалив
просалювати | просалюю | просалював
просалютувати | просалютую | просалютував
просапати | просапаю | просапав
просапувати | просапую | просапував
просватати | просватаю | просватав
просвердлити | просвердлю | просвердлив
просвердлювати | просвердлюю | просвердлював
просвистати | просвищу | просвистав
просвистіти | просвищу | просвистів
просвистувати | просвистую | просвистував
просвітити | просвічу | просвітив
просвітлити | просвітлю | просвітлив
просвітліти | просвітлію | просвітлів
просвітлювати | просвітлюю | просвітлював
просвічувати | просвічую | просвічував
просвіщати | просвіщаю | просвіщав
просигналити | просигналю | просигналив
просигналізувати | просигналізую | просигналізував
просиджувати | просиджую | просиджував
просидіти | просиджу | просидів
просилити | просилю | просилив
просипати | просипаю | просипав
просисати | просисаю | просисав
просити | прошу | просив
просихати | просихаю | просихав
просичати | просичу | просичав
просівати | просіваю | просівав
просідати | просідаю | просідав
просікати | просікаю | просікав
просікти | просічу | просік
просісти | просяду | просів
просіювати | просіюю | просіював
просіяти | просію | просіяв
проскакати | проскакаю | проскакав
проскакувати | проскакую | проскакував
проскандувати | проскандую | проскандував
просканувати | просканую | просканував
проскиглити | проскиглю | проскиглив
проскімлити | проскімлю | проскімлив
проскородити | проскороджу | проскородив
проскочити | проскочу | проскочив
проскребти | проскребу | проскріб
проскреготати | проскрегочу | проскреготав
проскреготіти | проскрегочу | проскреготів
проскрипіти | проскриплю | проскрипів
проскрібати | проскрібаю | проскрібав
проскучати | проскучаю | проскучав
прослабувати | прослабую | прослабував
прославити | прославлю | прославив
прославляти | прославляю | прославляв
прослизати | прослизаю | прослизав
прослизнути | прослизну | прослизнув
просліджувати | просліджую | просліджував
прослідити | просліджу | прослідив
прослідковувати | прослідковую | прослідковував
прослідкувати | прослідкую | прослідкував
прослужити | прослужу | прослужив
прослухати | прослухаю | прослухав
прослуховувати | прослуховую | прослуховував
прослухувати | прослухую | прослухував
просмажити | просмажу | просмажив
просмажувати | просмажую | просмажував
просмакувати | просмакую | просмакував
просмалити | просмалю | просмалив
просмалювати | просмалюю | просмалював
просмердіти | просмерджу | просмердів
просмикнути | просмикну | просмикнув
просмикувати | просмикую | просмикував
просмоктати | просмокчу | просмоктав
просмоктувати | просмоктую | просмоктував
просмолити | просмолю | просмолив
просмолювати | просмолюю | просмолював
просовати | просоваю | просовав
просовувати | просовую | просовував
просокотати | просокочу | просокотав
просолити | просолю | просолив
просоліти | просолію | просолів
просолювати | просолюю | просолював
просотати | просотаю | просотав
просотувати | просотую | просотував
просохнути | просохну | просохнув
просохти | просохну | просох
просочити | просочу | просочив
просочувати | просочую | просочував
проспати | просплю | проспав
проспиртовувати | проспиртовую | проспиртовував
проспиртувати | проспиртую | проспиртував
проспівати | проспіваю | проспівав
проспівувати | проспівую | проспівував
проспонсорувати | проспонсорую | проспонсорував
проставити | проставлю | проставив
проставляти | проставляю | проставляв
простажувати | простажую | простажував
простежити | простежу | простежив
простежувати | простежую | простежував
простелити | простелю | простелив
простеляти | простеляю | простеляв
простерилізувати | простерилізую | простерилізував
простерти | простру | простер
простигати | простигаю | простигав
простигнути | простигну | простигнув
простигти | простигну | простиг
простилати | простилаю | простилав
простимулювати | простимулюю | простимулював
простирати | простираю | простирав
простирчати | простирчу | простирчав
простити | прощу | простив
проституювати | проституюю | проституював
простішати | простішаю | простішав
простовбичити | простовбичу | простовбичив
простогнати | простогну | простогнав
просторікати | просторікаю | просторікав
просторікувати | просторікую | просторікував
просторішати | просторішаю | просторішав
простоювати | простоюю | простоював
простояти | простою | простояв
прострелити | прострелю | прострелив
простригати | простригаю | простригав
простригти | прострижу | простриг
прострілити | прострілю | прострілив
прострілювати | прострілюю | прострілював
простріляти | простріляю | простріляв
простромити | простромлю | простромив
простромлювати | простромлюю | простромлював
прострочити | прострочу | прострочив
прострочувати | прострочую | прострочував
простругати | простругаю | простругав
простругувати | простругую | простругував
